2023-02-22 18:52:53,316 - INFO - ####################################
2023-02-22 18:52:53,319 - INFO - ############Loading Model###########
2023-02-22 18:52:53,319 - INFO - ####################################
2023-02-22 18:56:59,686 - INFO - ####################################
2023-02-22 18:56:59,695 - INFO - ############Loading Model###########
2023-02-22 18:56:59,695 - INFO - ####################################
2023-02-23 11:32:09,115 - INFO - ####################################
2023-02-23 11:32:09,117 - INFO - ############Loading Model###########
2023-02-23 11:32:09,117 - INFO - ####################################
2023-02-23 11:39:05,615 - INFO - #####################################
2023-02-23 11:39:05,669 - INFO - ############Start Training###########
2023-02-23 11:39:05,669 - INFO - #####################################
2023-02-23 14:30:10,703 - INFO - #####################################
2023-02-23 14:30:10,703 - INFO - ############Start Training###########
2023-02-23 14:30:10,703 - INFO - #####################################
2023-02-23 14:38:45,574 - INFO - Env 00, Goal (002.1, 003.4), Episode 00010, setp 152, Reward 19.3 , Distance 009.2, Time out
2023-02-23 14:38:49,079 - INFO - Env 00, Goal (004.6, -05.8), Episode 00011, setp 034, Reward -18.8, Distance 009.5, Crashed
2023-02-23 14:38:50,362 - INFO - Env 03, Goal (004.7, 004.6), Episode 00011, setp 152, Reward -5.7 , Distance 008.7, Time out
2023-02-23 14:38:51,474 - INFO - Env 02, Goal (003.5, 003.4), Episode 00011, setp 152, Reward 12.0 , Distance 010.0, Time out
2023-02-23 14:38:54,671 - INFO - Env 01, Goal (-00.6, -06.9), Episode 00009, setp 101, Reward -26.6, Distance 009.4, Crashed
2023-02-23 14:39:00,998 - INFO - Env 04, Goal (-07.3, -02.7), Episode 00012, setp 152, Reward -17.4, Distance 008.1, Time out
2023-02-23 14:39:01,706 - INFO - Env 04, Goal (-06.8, -01.0), Episode 00013, setp 005, Reward -15.3, Distance 009.6, Crashed
2023-02-23 14:39:03,410 - INFO - Env 04, Goal (-07.6, 001.7), Episode 00014, setp 015, Reward -13.7, Distance 009.5, Crashed
2023-02-23 14:39:05,307 - INFO - Env 04, Goal (-02.6, 000.2), Episode 00015, setp 017, Reward -16.6, Distance 008.9, Crashed
2023-02-23 14:39:06,364 - INFO - Env 00, Goal (-01.2, 001.1), Episode 00012, setp 152, Reward 7.1  , Distance 008.2, Time out
2023-02-23 14:39:07,670 - INFO - Env 03, Goal (004.0, 006.5), Episode 00012, setp 152, Reward 13.7 , Distance 008.3, Time out
2023-02-23 14:39:08,891 - INFO - Env 02, Goal (-02.1, 002.1), Episode 00012, setp 152, Reward 13.8 , Distance 009.7, Time out
2023-02-23 14:39:11,197 - INFO - Env 04, Goal (002.0, -04.3), Episode 00016, setp 048, Reward -21.3, Distance 009.4, Crashed
2023-02-23 14:39:12,389 - INFO - Env 01, Goal (-01.1, -04.6), Episode 00010, setp 152, Reward 8.9  , Distance 008.4, Time out
2023-02-23 14:39:12,789 - INFO - Env 01, Goal (-00.7, -06.0), Episode 00011, setp 002, Reward -15.0, Distance 008.8, Crashed
2023-02-23 14:39:13,509 - INFO - Env 01, Goal (-06.3, -04.0), Episode 00012, setp 005, Reward -14.9, Distance 008.8, Crashed
2023-02-23 14:39:20,289 - INFO - Env 03, Goal (-02.4, 005.6), Episode 00013, setp 110, Reward -12.5, Distance 009.3, Crashed
2023-02-23 14:39:23,782 - INFO - Env 00, Goal (007.5, 004.7), Episode 00013, setp 152, Reward -13.7, Distance 008.3, Time out
2023-02-23 14:39:25,877 - INFO - Env 02, Goal (-03.2, 006.8), Episode 00013, setp 152, Reward 7.2  , Distance 008.8, Time out
2023-02-23 14:39:26,906 - INFO - Env 03, Goal (002.7, 004.3), Episode 00014, setp 060, Reward -19.8, Distance 008.0, Crashed
2023-02-23 14:39:28,305 - INFO - Env 04, Goal (-06.0, 006.7), Episode 00017, setp 152, Reward 10.9 , Distance 008.3, Time out
2023-02-23 14:39:30,001 - INFO - Env 01, Goal (-01.7, 006.0), Episode 00013, setp 152, Reward 6.2  , Distance 009.7, Time out
2023-02-23 14:39:33,676 - INFO - Env 04, Goal (002.3, -03.9), Episode 00018, setp 050, Reward -20.8, Distance 009.1, Crashed
2023-02-23 14:39:37,998 - INFO - Env 03, Goal (004.1, 007.8), Episode 00015, setp 101, Reward -27.3, Distance 008.4, Crashed
2023-02-23 14:39:40,691 - INFO - Env 00, Goal (005.2, -05.7), Episode 00014, setp 152, Reward 15.2 , Distance 009.4, Time out
2023-02-23 14:39:42,890 - INFO - Env 02, Goal (002.1, 002.3), Episode 00014, setp 152, Reward 14.9 , Distance 008.4, Time out
2023-02-23 14:39:46,491 - INFO - Env 01, Goal (002.0, 000.8), Episode 00014, setp 152, Reward 2.7  , Distance 008.1, Time out
2023-02-23 14:39:46,891 - INFO - Env 01, Goal (003.2, -01.3), Episode 00015, setp 002, Reward -15.0, Distance 008.8, Crashed
2023-02-23 14:39:47,501 - INFO - Env 01, Goal (001.8, 000.3), Episode 00016, setp 005, Reward -14.9, Distance 009.9, Crashed
2023-02-23 14:39:50,685 - INFO - Env 04, Goal (-03.1, 000.8), Episode 00019, setp 152, Reward 4.7  , Distance 008.4, Time out
2023-02-23 14:39:51,092 - INFO - Env 01, Goal (002.1, -05.0), Episode 00017, setp 032, Reward -18.8, Distance 009.3, Crashed
2023-02-23 14:39:55,197 - INFO - Env 03, Goal (005.0, 000.2), Episode 00016, setp 152, Reward 16.2 , Distance 009.9, Time out
2023-02-23 14:39:56,197 - INFO - Env 03, Goal (-06.0, -02.8), Episode 00017, setp 009, Reward -14.3, Distance 008.4, Crashed
2023-02-23 14:39:58,106 - INFO - Env 00, Goal (006.4, 006.1), Episode 00015, setp 152, Reward -5.6 , Distance 009.9, Time out
2023-02-23 14:40:00,290 - INFO - Env 02, Goal (-07.2, -02.6), Episode 00015, setp 152, Reward 16.4 , Distance 008.6, Time out
2023-02-23 14:40:04,173 - INFO - Env 04, Goal (-02.9, 004.0), Episode 00020, setp 120, Reward -4.9 , Distance 009.2, Crashed
2023-02-23 14:40:06,482 - INFO - Env 04, Goal (007.5, 002.8), Episode 00021, setp 021, Reward -12.4, Distance 008.7, Crashed
2023-02-23 14:40:07,979 - INFO - Env 01, Goal (-01.9, 005.9), Episode 00018, setp 152, Reward 12.5 , Distance 008.8, Time out
2023-02-23 14:40:09,069 - INFO - Env 01, Goal (003.4, 000.6), Episode 00019, setp 009, Reward -14.8, Distance 008.8, Crashed
2023-02-23 14:40:13,080 - INFO - Env 03, Goal (004.4, 003.5), Episode 00018, setp 152, Reward 16.3 , Distance 008.6, Time out
2023-02-23 14:40:14,805 - INFO - Env 02, Goal (001.8, -07.3), Episode 00016, setp 131, Reward -9.1 , Distance 009.8, Crashed
2023-02-23 14:40:15,202 - INFO - Env 00, Goal (004.6, 002.2), Episode 00016, setp 152, Reward 12.1 , Distance 009.6, Time out
2023-02-23 14:40:23,080 - INFO - Env 04, Goal (006.1, 005.6), Episode 00022, setp 152, Reward -11.1, Distance 009.0, Time out
2023-02-23 14:40:25,490 - INFO - Env 01, Goal (-04.5, -02.8), Episode 00020, setp 152, Reward 17.5 , Distance 009.9, Time out
2023-02-23 14:40:25,491 - INFO - Env 00, Goal (-06.5, -05.8), Episode 00017, setp 098, Reward -17.6, Distance 008.4, Crashed
2023-02-23 14:40:27,100 - INFO - Env 01, Goal (-05.4, 005.6), Episode 00021, setp 015, Reward -16.6, Distance 008.6, Crashed
2023-02-23 14:40:28,089 - INFO - Env 00, Goal (-01.7, -05.1), Episode 00018, setp 022, Reward -13.0, Distance 008.3, Crashed
2023-02-23 14:40:29,975 - INFO - Env 03, Goal (000.9, 002.2), Episode 00019, setp 152, Reward 12.9 , Distance 009.4, Time out
2023-02-23 14:40:31,702 - INFO - Env 02, Goal (-00.7, -06.1), Episode 00017, setp 152, Reward -7.9 , Distance 008.0, Time out
2023-02-23 14:40:32,302 - INFO - Env 00, Goal (-03.9, 002.5), Episode 00019, setp 036, Reward -11.1, Distance 008.4, Crashed
2023-02-23 14:40:37,374 - INFO - Env 01, Goal (005.0, 004.2), Episode 00022, setp 091, Reward -24.9, Distance 009.7, Crashed
2023-02-23 14:40:37,676 - INFO - Env 01, Goal (001.9, -08.3), Episode 00023, setp 002, Reward -15.0, Distance 008.3, Crashed
2023-02-23 14:40:40,079 - INFO - Env 04, Goal (000.9, -01.9), Episode 00023, setp 148, Reward 1.7  , Distance 008.1, Crashed
2023-02-23 14:40:42,977 - INFO - Env 02, Goal (-00.8, 005.5), Episode 00018, setp 102, Reward -24.5, Distance 008.3, Crashed
2023-02-23 14:40:46,810 - INFO - Env 03, Goal (-04.8, 007.4), Episode 00020, setp 152, Reward -2.8 , Distance 009.3, Time out
2023-02-23 14:40:47,913 - INFO - Env 04, Goal (000.5, 008.4), Episode 00024, setp 072, Reward -11.3, Distance 008.5, Crashed
2023-02-23 14:40:49,293 - INFO - Env 00, Goal (005.1, 003.3), Episode 00020, setp 152, Reward 1.4  , Distance 009.2, Time out
2023-02-23 14:40:54,364 - INFO - Env 01, Goal (-02.3, -02.4), Episode 00024, setp 152, Reward 17.3 , Distance 009.9, Time out
2023-02-23 14:40:57,275 - INFO - Env 00, Goal (-03.7, 002.5), Episode 00021, setp 076, Reward -22.4, Distance 008.9, Crashed
2023-02-23 14:40:59,705 - INFO - Env 02, Goal (003.1, -00.1), Episode 00019, setp 152, Reward 12.6 , Distance 009.0, Time out
2023-02-23 14:41:03,668 - INFO - Env 02, Goal (005.6, 005.7), Episode 00020, setp 037, Reward -18.9, Distance 009.4, Crashed
2023-02-23 14:41:03,668 - INFO - Env 03, Goal (003.6, -03.9), Episode 00021, setp 152, Reward 13.0 , Distance 008.3, Time out
2023-02-23 14:41:04,813 - INFO - Env 04, Goal (-00.9, 008.7), Episode 00025, setp 152, Reward 16.8 , Distance 009.7, Time out
2023-02-23 14:41:05,189 - INFO - Env 04, Goal (-02.2, 003.0), Episode 00026, setp 002, Reward -15.0, Distance 009.1, Crashed
2023-02-23 14:41:11,202 - INFO - Env 01, Goal (-06.9, -04.7), Episode 00025, setp 152, Reward 8.4  , Distance 008.1, Time out
2023-02-23 14:41:11,202 - INFO - Env 03, Goal (000.7, -04.3), Episode 00022, setp 068, Reward -19.6, Distance 008.1, Crashed
2023-02-23 14:41:14,114 - INFO - Env 00, Goal (002.7, 002.5), Episode 00022, setp 152, Reward 15.5 , Distance 009.4, Time out
2023-02-23 14:41:20,194 - INFO - Env 02, Goal (006.6, -01.6), Episode 00021, setp 152, Reward -2.6 , Distance 008.5, Time out
2023-02-23 14:41:21,376 - INFO - Env 04, Goal (-08.6, 000.5), Episode 00027, setp 152, Reward -0.9 , Distance 009.4, Time out
2023-02-23 14:41:25,212 - INFO - Env 03, Goal (-04.2, 003.2), Episode 00023, setp 130, Reward -7.1 , Distance 008.3, Crashed
2023-02-23 14:41:27,707 - INFO - Env 01, Goal (-00.0, -04.7), Episode 00026, setp 152, Reward 15.1 , Distance 009.6, Time out
2023-02-23 14:41:28,090 - INFO - Env 01, Goal (003.3, -03.3), Episode 00027, setp 002, Reward -15.0, Distance 008.1, Crashed
2023-02-23 14:41:28,566 - INFO - Env 04, Goal (-00.7, -05.2), Episode 00028, setp 062, Reward -22.3, Distance 009.4, Crashed
2023-02-23 14:41:29,906 - INFO - Env 04, Goal (007.2, -03.7), Episode 00029, setp 011, Reward -15.5, Distance 009.1, Crashed
2023-02-23 14:41:30,177 - INFO - Env 04, Goal (-02.7, 003.3), Episode 00030, setp 002, Reward -15.0, Distance 008.6, Crashed
2023-02-23 14:41:30,588 - INFO - Env 00, Goal (-00.1, 005.7), Episode 00023, setp 141, Reward -31.4, Distance 008.4, Crashed
2023-02-23 14:41:37,868 - INFO - Env 02, Goal (005.6, 006.0), Episode 00022, setp 152, Reward 2.5  , Distance 009.2, Time out
2023-02-23 14:41:38,291 - INFO - Env 02, Goal (002.2, -00.2), Episode 00023, setp 002, Reward -15.0, Distance 008.1, Crashed
2023-02-23 14:41:42,966 - INFO - Env 03, Goal (-02.9, -04.4), Episode 00024, setp 152, Reward 14.9 , Distance 009.9, Time out
2023-02-23 14:41:44,695 - INFO - Env 03, Goal (001.0, -01.4), Episode 00025, setp 015, Reward -16.2, Distance 009.6, Crashed
2023-02-23 14:41:45,090 - INFO - Env 01, Goal (-02.9, 006.5), Episode 00028, setp 144, Reward -9.9 , Distance 008.2, Crashed
2023-02-23 14:41:45,090 - INFO - Env 03, Goal (001.8, -05.8), Episode 00026, setp 002, Reward -15.0, Distance 008.2, Crashed
2023-02-23 14:41:47,498 - INFO - Env 04, Goal (-01.5, -01.7), Episode 00031, setp 152, Reward 14.4 , Distance 008.5, Time out
2023-02-23 14:41:47,799 - INFO - ########################## model saved when update 20 times#########################
2023-02-23 14:41:47,800 - INFO - Env 00, Goal (-04.7, -00.4), Episode 00024, setp 152, Reward 2.1  , Distance 009.4, Time out
2023-02-23 14:41:48,201 - INFO - Env 03, Goal (002.5, 003.8), Episode 00027, setp 025, Reward -18.2, Distance 009.1, Crashed
2023-02-23 14:41:48,718 - INFO - ########################## model saved when update 20 times#########################
2023-02-23 14:41:48,718 - INFO - Env 00, Goal (001.0, -01.8), Episode 00025, setp 006, Reward -15.4, Distance 009.2, Crashed
2023-02-23 14:41:55,403 - INFO - Env 02, Goal (002.0, -04.9), Episode 00024, setp 152, Reward 16.5 , Distance 009.5, Time out
2023-02-23 14:42:01,688 - INFO - Env 01, Goal (-02.2, 000.3), Episode 00029, setp 152, Reward 7.7  , Distance 009.7, Time out
2023-02-23 14:42:03,975 - INFO - Env 04, Goal (004.2, -02.8), Episode 00032, setp 152, Reward 13.2 , Distance 008.6, Time out
2023-02-23 14:42:04,471 - INFO - Env 03, Goal (007.5, 003.9), Episode 00028, setp 152, Reward 17.2 , Distance 009.2, Time out
2023-02-23 14:42:04,979 - INFO - Env 00, Goal (-08.1, -01.4), Episode 00026, setp 152, Reward 12.8 , Distance 010.0, Time out
2023-02-23 14:42:05,510 - INFO - Env 01, Goal (-00.4, -02.8), Episode 00030, setp 030, Reward -19.2, Distance 010.0, Crashed
2023-02-23 14:42:08,292 - INFO - Env 01, Goal (-00.7, 000.4), Episode 00031, setp 027, Reward -16.6, Distance 009.2, Crashed
2023-02-23 14:42:09,289 - INFO - Env 01, Goal (000.6, 004.9), Episode 00032, setp 008, Reward -16.2, Distance 009.8, Crashed
2023-02-23 14:42:12,481 - INFO - Env 02, Goal (001.8, 003.4), Episode 00025, setp 152, Reward 9.8  , Distance 009.1, Time out
2023-02-23 14:42:13,283 - INFO - Env 02, Goal (000.6, -07.8), Episode 00026, setp 006, Reward -15.1, Distance 009.8, Crashed
2023-02-23 14:42:16,207 - INFO - Env 04, Goal (001.7, -05.8), Episode 00033, setp 102, Reward -26.0, Distance 008.6, Crashed
2023-02-23 14:42:21,685 - INFO - Env 03, Goal (007.9, 000.2), Episode 00029, setp 152, Reward -7.8 , Distance 008.1, Time out
2023-02-23 14:42:22,176 - INFO - Env 00, Goal (-00.6, 003.1), Episode 00027, setp 152, Reward 20.1 , Distance 009.0, Time out
2023-02-23 14:42:25,891 - INFO - Env 01, Goal (-04.2, -03.2), Episode 00033, setp 152, Reward 7.6  , Distance 009.5, Time out
2023-02-23 14:42:26,292 - INFO - Env 01, Goal (-03.6, -02.7), Episode 00034, setp 002, Reward -15.0, Distance 009.3, Crashed
2023-02-23 14:42:29,075 - INFO - Env 03, Goal (-04.0, 001.8), Episode 00030, setp 065, Reward -14.3, Distance 009.4, Crashed
2023-02-23 14:42:29,075 - INFO - Env 02, Goal (005.4, 000.2), Episode 00027, setp 143, Reward -14.2, Distance 008.4, Crashed
2023-02-23 14:42:32,883 - INFO - Env 04, Goal (000.5, 006.2), Episode 00034, setp 152, Reward 13.9 , Distance 009.4, Time out
2023-02-23 14:42:38,767 - INFO - Env 00, Goal (006.8, 001.3), Episode 00028, setp 152, Reward 14.1 , Distance 009.9, Time out
2023-02-23 14:42:42,148 - INFO - Env 00, Goal (003.6, 000.9), Episode 00029, setp 012, Reward -15.6, Distance 008.3, Crashed
2023-02-23 14:42:42,947 - INFO - Env 04, Goal (-07.9, 002.4), Episode 00035, setp 074, Reward -11.4, Distance 008.7, Crashed
2023-02-23 14:42:43,344 - INFO - Env 04, Goal (-00.5, -04.0), Episode 00036, setp 002, Reward -15.0, Distance 008.4, Crashed
2023-02-23 14:42:43,344 - INFO - Env 02, Goal (-02.6, -04.1), Episode 00028, setp 109, Reward -17.4, Distance 009.1, Crashed
2023-02-23 14:42:45,462 - INFO - Env 01, Goal (-02.2, 008.2), Episode 00035, setp 152, Reward 11.1 , Distance 008.2, Time out
2023-02-23 14:42:45,846 - INFO - Env 01, Goal (000.6, -01.2), Episode 00036, setp 002, Reward -15.0, Distance 008.7, Crashed
2023-02-23 14:42:46,133 - INFO - Env 01, Goal (-01.6, 000.2), Episode 00037, setp 002, Reward -15.0, Distance 008.5, Crashed
2023-02-23 14:42:48,463 - INFO - Env 00, Goal (-06.7, 002.3), Episode 00030, setp 047, Reward -21.3, Distance 009.7, Crashed
2023-02-23 14:42:49,057 - INFO - Env 03, Goal (002.4, 003.0), Episode 00031, setp 152, Reward 10.9 , Distance 010.0, Time out
2023-02-23 14:42:49,650 - INFO - Env 00, Goal (002.4, -02.4), Episode 00031, setp 009, Reward -14.5, Distance 009.5, Crashed
2023-02-23 14:42:50,046 - INFO - Env 00, Goal (-02.8, 008.4), Episode 00032, setp 002, Reward -15.0, Distance 009.6, Crashed
2023-02-23 14:42:51,522 - INFO - Env 00, Goal (002.0, 004.9), Episode 00033, setp 013, Reward -15.8, Distance 010.0, Crashed
2023-02-23 14:42:51,832 - INFO - Env 02, Goal (-02.5, -08.1), Episode 00029, setp 062, Reward -12.0, Distance 009.1, Crashed
2023-02-23 14:42:51,833 - INFO - Env 00, Goal (-03.2, 005.3), Episode 00034, setp 002, Reward -15.0, Distance 009.1, Crashed
2023-02-23 14:42:52,134 - INFO - Env 01, Goal (002.6, 003.5), Episode 00038, setp 043, Reward -19.0, Distance 009.5, Crashed
2023-02-23 14:42:55,460 - INFO - Env 03, Goal (000.9, -04.7), Episode 00032, setp 051, Reward -19.5, Distance 009.6, Crashed
2023-02-23 14:43:00,770 - INFO - Env 04, Goal (-05.3, -04.0), Episode 00037, setp 145, Reward -1.8 , Distance 009.5, Crashed
2023-02-23 14:43:02,523 - INFO - Env 03, Goal (-05.0, 001.3), Episode 00033, setp 066, Reward -6.9 , Distance 009.5, Crashed
2023-02-23 14:43:05,463 - INFO - Env 04, Goal (002.7, 000.6), Episode 00038, setp 041, Reward -17.9, Distance 009.1, Crashed
